,id,title,categories,date,closed,date_closed,geometries,year
1981,EONET_394,"Mckenna Fire, New Mexico",Wildfires,2016-05-06,True,2016-06-28,"{'type': 'Point', 'coordinates': [-108.42555555556, 33.248611111111]}",2016
1982,EONET_391,"Cumero Fire, Arizona",Wildfires,2016-05-06,True,2016-05-22,"{'type': 'Point', 'coordinates': [-111.45, 31.472222222222]}",2016
1983,EONET_410,"Sinabung Volcano, Indonesia",Volcanoes,2016-05-04,True,2018-02-27,"{'type': 'Point', 'coordinates': [98.392, 3.17]}",2016
1984,EONET_387,"Fort McMurray Fire, Alberta, Canada",Wildfires,2016-05-02,True,2016-06-10,"{'type': 'Polygon', 'coordinates': [[[-111.6796875, 56.54385130762501], [-111.6796875, 56.91330968731453], [-111.08154296875, 56.91330968731453], [-111.08154296875, 56.54385130762501], [-111.6796875, 56.54385130762501]]]}",2016
1985,EONET_390,"Nairobi, Kenya Floods",Floods,2016-04-25,True,2016-05-13,"{'type': 'Polygon', 'coordinates': [[[36.339111328125, -1.77490145924989], [36.339111328125, -0.8050718564283805], [37.32177734375, -0.8050718564283805], [37.32177734375, -1.77490145924989], [36.339111328125, -1.77490145924989]]]}",2016
1986,EONET_474,"Klyuchevskoy Volcano, Russia",Volcanoes,2016-04-25,True,2016-11-18,"{'type': 'Point', 'coordinates': [160.642, 56.056]}",2016
1987,EONET_397,"Mt. Sourabaya Volcano, Bristol Island, South Sandwich Islands",Volcanoes,2016-04-24,True,2016-07-01,"{'type': 'Point', 'coordinates': [-26.587, -59.063]}",2016
1988,EONET_2431,"San Cristobal Volcano, Nicaragua",Volcanoes,2016-04-22,True,2016-04-22,"{'type': 'Point', 'coordinates': [-87.004, 12.702]}",2016
1989,EONET_382,"Silver Mine Fire, North Carolina",Wildfires,2016-04-21,True,2016-05-05,"{'type': 'Point', 'coordinates': [-82.808055555556, 35.890277777778]}",2016
1990,EONET_377,Cyclone Amos,Severe Storms,2016-04-20,True,2016-04-30,"{'type': 'Point', 'coordinates': [-178.2, -13.1]}",2016
1991,EONET_381,"Clemmons Road Fire, North Carolina",Wildfires,2016-04-19,True,2016-04-27,"{'type': 'Point', 'coordinates': [-78.187222222222, 33.9975]}",2016
1992,EONET_383,Myanmar (Burma) Severe Storms,Severe Storms,2016-04-19,True,2016-04-29,"{'type': 'Polygon', 'coordinates': [[[93.0615234375, 20.029289527188645], [93.0615234375, 24.8736607761345], [96.93359375, 24.8736607761345], [96.93359375, 20.029289527188645], [93.0615234375, 20.029289527188645]]]}",2016
1993,EONET_388,"Carter Road Fire, British Columbia, Canada",Wildfires,2016-04-19,True,2016-05-18,"{'type': 'Point', 'coordinates': [-121.9992833, 56.10305]}",2016
1994,EONET_395,"Halfway River Fire, British Columbia, Canada",Wildfires,2016-04-19,True,2016-06-09,"{'type': 'Point', 'coordinates': [-121.6324667, 56.257]}",2016
1995,EONET_378,"Whipping Creek Fire, North Carolina",Wildfires,2016-04-18,True,2016-05-06,"{'type': 'Point', 'coordinates': [-75.907777777778, 35.639166666667]}",2016
1996,EONET_380,"Railroad Grade 2016 Fire, Tennessee",Wildfires,2016-04-18,True,2016-04-26,"{'type': 'Point', 'coordinates': [-82.109722222222, 36.216666666667]}",2016
1997,EONET_389,"Siphon Creek Fire, British Columbia, Canada",Wildfires,2016-04-18,True,2016-06-13,"{'type': 'Point', 'coordinates': [-120.43345, 56.52315]}",2016
1998,EONET_396,"Beatton Airport Road Fire, British Columbia, Canada",Wildfires,2016-04-18,True,2016-06-09,"{'type': 'Point', 'coordinates': [-121.1950836, 56.5937004]}",2016
1999,EONET_376,"Rocky Mount Fire, Virgina",Wildfires,2016-04-17,True,2016-05-04,"{'type': 'Polygon', 'coordinates': [[[-78.907470703125, 38.0603639807185], [-78.907470703125, 38.44255951354092], [-78.47412109375, 38.44255951354092], [-78.47412109375, 38.0603639807185], [-78.907470703125, 38.0603639807185]]]}",2016
2000,EONET_368,"Flooding in Houston, Texas",Floods,2016-04-17,True,2016-04-27,"{'type': 'Polygon', 'coordinates': [[[-95.980224609375, 29.213727993972313], [-95.980224609375, 30.36072451862922], [-94.64599609375, 30.36072451862922], [-94.64599609375, 29.213727993972313], [-95.980224609375, 29.213727993972313]]]}",2016
2001,EONET_384,"India Heatwave, April 2016",Temperature Extremes,2016-04-15,True,2016-05-07,"{'type': 'Polygon', 'coordinates': [[[73.9453125, 12.526880895516518], [73.9453125, 29.63762913559315], [89.90234375, 29.63762913559315], [89.90234375, 12.526880895516518], [73.9453125, 12.526880895516518]]]}",2016
2002,EONET_374,"West Africa Dust Storm, April 2016",Dust and Haze,2016-04-14,True,2016-04-19,"{'type': 'Polygon', 'coordinates': [[[-34.6875, 0.6747501728730703], [-34.6875, 36.12650068285292], [-2.734375, 36.12650068285292], [-2.734375, 0.6747501728730703], [-34.6875, 0.6747501728730703]]]}",2016
2003,EONET_371,"Flooding in Iran, April 2016",Floods,2016-04-13,True,2016-04-27,"{'type': 'Polygon', 'coordinates': [[[44.4140625, 30.877888118431578], [44.4140625, 38.9142723125973], [49.912109375, 38.9142723125973], [49.912109375, 30.877888118431578], [44.4140625, 30.877888118431578]]]}",2016
2004,EONET_369,"Yemen Flash Floods, April 2016",Floods,2016-04-13,True,2016-04-23,"{'type': 'Polygon', 'coordinates': [[[42.45849609375, 14.874914697018605], [42.45849609375, 17.42107429246518], [45.18798828125, 17.42107429246518], [45.18798828125, 14.874914697018605], [42.45849609375, 14.874914697018605]]]}",2016
